5=0.39196197061365595,6=0.15773552290406204,7=0.09709017574186098,12=0.06741573033707857,1=0.03831748775568995,9=0.03716508210890229,0=0.037021031403053836,11=0.032843560933448535,10=0.03010659752232782,2=0.029674445404782448,8=0.027081532699510188,4=0.02679343128781327,3=0.026793431287813266,
6=0.13982521847690405,0=0.09925093632958797,1=0.09769038701622967,9=0.09675405742821465,11=0.0805243445692883,7=0.07802746566791496,12=0.06741573033707855,8=0.05867665418227206,3=0.057116104868913754,2=0.05649188514357044,4=0.056491885143570425,5=0.056179775280898764,10=0.05555555555555545,
6=0.13420724094881406,9=0.1039325842696629,0=0.10330836454431955,1=0.08614232209737817,11=0.08208489388264657,7=0.07677902621722839,12=0.06991260923845184,8=0.05774032459425707,3=0.057428214731585416,10=0.0574282147315854,4=0.05711610486891375,5=0.05711610486891375,2=0.05680399500624211,
6=0.13857677902621732,9=0.10362047440699121,0=0.09925093632958794,11=0.08770287141073646,1=0.08270911360798992,7=0.08052434456928828,12=0.06960049937578017,8=0.05774032459425707,3=0.056803995006242086,2=0.05617977528089878,4=0.05586766541822711,10=0.05586766541822711,5=0.05555555555555545,
6=0.13039621525724426,0=0.1277350680070964,9=0.11383796570076872,1=0.0869308101714961,11=0.07717327025428736,7=0.07569485511531633,12=0.06357185097575395,8=0.05558840922531046,10=0.05558840922531046,3=0.05381431105854524,4=0.05351862803075104,2=0.05322294500295684,5=0.052927261975162634,
1=0.16311507167764436,8=0.0705153041456799,11=0.0705153041456799,7=0.07012785741960476,0=0.07012785741960473,4=0.07012785741960473,9=0.06974041069352957,2=0.06974041069352956,6=0.06935296396745441,12=0.06935296396745441,3=0.0693529639674544,5=0.06896551724137924,10=0.06896551724137924,
5=0.41351998526432093,8=0.14017314422545593,4=0.06649475041444097,6=0.050469699760545224,3=0.04844354393074231,2=0.038865352735310395,10=0.03776017682814516,12=0.03610241296739733,11=0.0344446491066495,7=0.033892061153066894,1=0.03352366918401181,0=0.033155277214956744,9=0.033155277214956744,
10=0.5737181315234129,5=0.07237780185935093,2=0.0642787885701249,8=0.0565219871100211,4=0.04870815034506359,7=0.037415159984030104,11=0.032567159071465235,6=0.027319911024924433,9=0.026578452061826272,12=0.019334968345405802,0=0.014772143957109454,3=0.013232190726059436,1=0.013175155421205738,
8=0.22156514882712383,6=0.15986595702739986,12=0.11768184506209345,9=0.08752217622708457,7=0.07983441750443523,0=0.05519416518825158,11=0.048689138576779055,1=0.04711216242854331,5=0.037058939483540373,3=0.03686181746501091,4=0.03686181746501091,10=0.03646757342795198,2=0.03528484131677516,
8=0.3469480716671727,6=0.12101427269966594,12=0.1117522016398421,7=0.06346796234436683,9=0.059368357121166074,4=0.04782872760400848,0=0.04357728515031885,3=0.04084421500151835,1=0.04008502884907379,11=0.037048284239295494,5=0.03158214394169452,10=0.029456422714849696,2=0.02702702702702702,
1=0.22303370786516852,12=0.10983146067415721,0=0.10786516853932585,9=0.08455056179775278,11=0.06320224719101118,7=0.05926966292134829,8=0.050842696629213396,5=0.05056179775280891,6=0.05056179775280891,10=0.05028089887640441,2=0.04999999999999991,3=0.04999999999999991,4=0.04999999999999991,
8=0.32881068475726066,0=0.08988764044943828,12=0.0888276446894213,7=0.08564765740937043,9=0.06550773796904819,1=0.059571761712953177,11=0.04685181259274967,3=0.04197583209667163,6=0.03985584057663769,4=0.039643841424634306,10=0.03794784820860716,2=0.03773584905660377,5=0.03773584905660377,
8=0.3556268949527371,12=0.1239522026038878,7=0.10700909577314054,0=0.06349206349206343,9=0.05778491171749594,1=0.04940253254859992,11=0.04280363830925622,4=0.0344212591403602,3=0.034242910647404964,6=0.033886213661494496,5=0.03299447119671831,10=0.03245942571785261,2=0.03192438023898691,
5=0.29000387446726034,11=0.09647423479271607,7=0.08368849283223559,12=0.08310732274312285,0=0.0790391321193336,9=0.06877179387834177,1=0.05598605191786134,10=0.045718713676869416,2=0.04126307632700503,6=0.04010073614877953,8=0.04010073614877953,3=0.03951956605966678,4=0.03622626888802786,
0=0.12515605493133578,12=0.12265917602996246,1=0.10674157303370786,9=0.10330836454431952,11=0.07553058676654173,7=0.0724094881398251,3=0.05711610486891376,2=0.056803995006242086,4=0.056179775280898764,6=0.056179775280898764,8=0.056179775280898764,5=0.05586766541822711,10=0.05586766541822711,
0=0.12873194221508816,12=0.1258426966292133,9=0.11235955056179764,1=0.08635634028892446,11=0.07576243980738351,7=0.06902086677367565,3=0.05810593900481529,5=0.05746388443017645,8=0.05746388443017645,10=0.05746388443017645,2=0.05714285714285703,4=0.05714285714285703,6=0.05714285714285703,
8=0.3918283963227781,1=0.10275791624106229,0=0.07763023493360567,9=0.07129724208375886,7=0.04535240040858012,11=0.044739530132788516,12=0.04187946884576091,3=0.040653728294177675,4=0.03758937691521954,6=0.03677221654749738,5=0.03677221654749737,2=0.036363636363636286,10=0.036363636363636286,
0=0.13312904324140282,9=0.11338100102145049,1=0.09737827715355801,7=0.08171603677221649,11=0.08171603677221649,12=0.06741573033707861,6=0.061287027579162365,2=0.060946544092611465,3=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,8=0.06060606060606056,10=0.06060606060606056,
0=0.14300306435137905,9=0.11474293496765407,1=0.09635682669390533,11=0.07865168539325837,7=0.07694926796050386,12=0.0657133129043241,6=0.060946544092611465,2=0.06060606060606056,3=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,8=0.06060606060606056,10=0.06060606060606056,
1=0.2186126038104543,11=0.11895456765999017,8=0.11553492916463105,0=0.08280410356619443,9=0.07596482657547635,7=0.05422569614069376,3=0.05373717635564243,4=0.05251587689301421,12=0.04836345872007824,6=0.04665363947239871,10=0.04445530043966788,5=0.04445530043966787,2=0.04372252076209095,
11=0.2421706908917046,5=0.1257470714797992,0=0.07578293091082954,9=0.07482667941668657,6=0.06837198183122158,12=0.0664594788429357,1=0.061678221372220905,4=0.053789146545541434,7=0.05355008367200573,2=0.04613913459239773,10=0.04446569447764756,8=0.0435094429835046,3=0.04350944298350459,
2=0.5355266348718772,4=0.12133214776493413,3=0.07541831703176786,5=0.0497130385579177,0=0.03378869937757658,10=0.03370786516853932,9=0.02643278635518549,6=0.023199417993694946,1=0.021906070649098695,12=0.020451054886427945,8=0.020451054886427934,11=0.02020855225931614,7=0.01786436019723546,
0=0.12905296950240758,9=0.10369181380417326,1=0.09438202247191002,12=0.08956661316211866,6=0.08186195826645251,11=0.08089887640449424,7=0.07608346709470294,3=0.05778491171749587,4=0.05746388443017645,5=0.05746388443017645,8=0.05746388443017645,2=0.05714285714285703,10=0.05714285714285703,
1=0.2567826801863523,0=0.09016168813373535,9=0.08468073444779398,12=0.06549739654699922,8=0.06494930117840508,11=0.06220882433543441,7=0.06029049054535494,6=0.059468347492463734,3=0.05453548917511651,4=0.05316525075363117,5=0.04987667854206635,10=0.04932858317347222,2=0.04905453548917515,
0=0.13284864507600777,9=0.11863846662260395,1=0.08856576338400515,11=0.08228684732319883,7=0.07732980832782539,12=0.0740251156642431,6=0.07171183079973552,2=0.05948446794448104,4=0.059153998678122814,3=0.05915399867812281,8=0.05915399867812281,5=0.05882352941176458,10=0.05882352941176458,
0=0.1335095836087242,9=0.11830799735624573,1=0.0948446794448115,7=0.07666886979510894,12=0.07567746199603424,6=0.07435558493060133,11=0.07336417713152665,5=0.05915399867812281,2=0.05882352941176458,3=0.05882352941176458,4=0.05882352941176458,8=0.05882352941176458,10=0.05882352941176458,
3=0.2903435922488195,4=0.25842696629213485,0=0.06236769255821535,9=0.05764533463605281,8=0.0478749389350269,1=0.04754925907832604,11=0.039732942517505324,12=0.037778863377300145,7=0.03663898387884713,6=0.03452206481029151,10=0.029148347174727238,2=0.028985507246376805,5=0.028985507246376805,
0=0.1381361533377394,9=0.10938532716457358,1=0.0948446794448115,6=0.08228684732319881,11=0.07997356245869121,7=0.07402511566424308,12=0.06576338400528739,3=0.060145406477197495,2=0.05948446794448104,4=0.059153998678122814,5=0.059153998678122814,8=0.05882352941176458,10=0.05882352941176458,
0=0.12690019828155966,9=0.12095175148711154,1=0.08691341705221406,6=0.08460013218770641,11=0.08162590879048233,7=0.07633840052875067,12=0.06807666886979498,2=0.05948446794448104,3=0.059153998678122814,4=0.059153998678122814,10=0.059153998678122814,5=0.05882352941176458,8=0.05882352941176458,
3=0.20706260032102736,4=0.18183902774592997,0=0.0880531988076129,9=0.08048612703508368,1=0.06626920431093784,8=0.0609951845906902,11=0.0522815867920202,7=0.051593671176335676,12=0.047695482687457,5=0.04104563173584044,6=0.041045631735840436,2=0.04081632653061228,10=0.04081632653061228,
11=0.24694132334581742,2=0.0993757802746565,4=0.08614232209737817,0=0.08064918851435697,9=0.08039950062421967,1=0.06766541822721592,10=0.05667915106117348,7=0.051435705368289585,12=0.049188514357053625,8=0.04669163545568034,6=0.04519350811485637,3=0.04519350811485636,5=0.04444444444444438,
0=0.13959822948587,9=0.12359550561797755,1=0.09431392577459988,11=0.07728975144705477,7=0.07354443309499484,12=0.0667347633639768,3=0.060946544092611465,8=0.060946544092611465,2=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,6=0.06060606060606056,10=0.06060606060606056,
4=0.27005716538537367,3=0.17189040015769752,0=0.09146461659767392,9=0.08042578356002368,1=0.05558840922531049,11=0.05105460279913271,7=0.050660358762073775,8=0.0484920165582496,12=0.03922728168736453,10=0.035679085353834086,5=0.03528484131677516,2=0.03508771929824569,6=0.03508771929824569,
4=0.3714744324696171,1=0.12772299931208447,8=0.06099518459069019,3=0.05526255445998622,12=0.046548956661316226,9=0.04379729419857834,0=0.0428800733776657,11=0.04265076817243755,7=0.04265076817243754,5=0.04173354735152491,6=0.041504242146296756,10=0.041504242146296756,2=0.041274936941068596,
11=0.10944652517686206,9=0.07490636704119857,0=0.07449022055763636,6=0.07449022055763636,1=0.07407407407407415,2=0.07407407407407415,3=0.07407407407407415,4=0.07407407407407415,5=0.07407407407407415,7=0.07407407407407415,8=0.07407407407407415,10=0.07407407407407415,12=0.07407407407407415,
10=0.42965464947956183,2=0.18963259116288694,5=0.07899634659130071,4=0.07299924174536426,8=0.04625353277727996,6=0.034741848762666304,9=0.03046804990694145,7=0.03033018542772452,3=0.018818501413110908,0=0.018198111256634716,1=0.017784517818983936,11=0.01633694078720617,12=0.015785482870338447,
6=0.19597596028220554,7=0.15991638359027976,9=0.1131434544029267,0=0.06506401881369225,12=0.06114449960804814,1=0.06009929448654305,11=0.05983799320616678,10=0.04938594199111582,5=0.04807943558923444,3=0.047034230467729345,8=0.047034230467729345,2=0.04677292918735307,4=0.0465116279069768,
4=0.22207534699272932,8=0.1425424102225158,11=0.09341264595725918,0=0.08724388631857226,9=0.07116104868913846,3=0.06587354042740684,1=0.06455166336197395,7=0.04935007710949542,12=0.04472350738048022,10=0.04053756333994267,5=0.0396563119629874,2=0.03943599911874858,6=0.03943599911874858,
0=0.1428571428571427,9=0.12455858747993565,1=0.10112359550561788,7=0.08218298555377195,11=0.08025682182985543,12=0.06869983948635625,4=0.05746388443017645,2=0.05714285714285703,3=0.05714285714285703,5=0.05714285714285703,6=0.05714285714285703,8=0.05714285714285703,10=0.05714285714285703,
7=0.19070756149407822,0=0.11418159732766471,9=0.09413908290312784,1=0.08715457030063767,11=0.06711205587610086,12=0.06529000911023387,6=0.05648344974187672,5=0.054357728515031886,8=0.054357728515031886,2=0.05405405405405404,3=0.05405405405405404,4=0.05405405405405404,10=0.05405405405405404,
0=0.1344909771876064,9=0.11440245148110319,1=0.09771876064010891,11=0.08171603677221649,7=0.07626830098740206,12=0.07048008171603672,3=0.060946544092611465,6=0.060946544092611465,2=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,8=0.06060606060606056,10=0.06060606060606056,
4=0.2290759000229306,8=0.15317587709241004,0=0.09860123824810821,9=0.08071543224031183,3=0.06305893143774363,1=0.060077963769777566,11=0.05342811281816096,7=0.050905755560651196,12=0.045402430635175434,10=0.04173354735152491,6=0.041504242146296756,2=0.041274936941068596,5=0.041045631735840436,
0=0.14232209737827722,9=0.11814776983316312,1=0.08988764044943814,11=0.0837589376915219,7=0.07320394960844394,12=0.0680966973101804,3=0.060946544092611465,2=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,6=0.06060606060606056,8=0.06060606060606056,10=0.06060606060606056,
0=0.14210178453403813,9=0.10839391936549889,1=0.09120951751487101,11=0.07997356245869122,12=0.07468605419695955,7=0.07303370786516843,4=0.06708526107072031,5=0.06245869134170511,6=0.06212822207534688,2=0.06146728354263042,3=0.05948446794448104,8=0.05915399867812281,10=0.05882352941176458,
5=0.22453490513906804,4=0.1827224166513168,8=0.12027997789648191,0=0.07515196168723522,9=0.06410020261558295,1=0.054522011420151,3=0.053601031497513364,11=0.04328605636397127,7=0.039049548719837915,2=0.03812856879720023,12=0.03739178485909009,10=0.033892061153066894,6=0.03333947319948428,
1=0.21179775280898874,4=0.11769662921348308,0=0.09999999999999996,9=0.07808988764044941,11=0.06432584269662917,7=0.06348314606741569,3=0.05730337078651682,12=0.05561797752808985,8=0.050842696629213396,6=0.05056179775280891,10=0.05028089887640441,2=0.04999999999999991,5=0.04999999999999991,
0=0.14776983316309167,9=0.11133810010214504,1=0.08818522301668363,11=0.08001361933946198,7=0.07865168539325837,12=0.06945863125638402,8=0.060946544092611465,2=0.06060606060606056,3=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,6=0.06060606060606056,10=0.06060606060606056,
0=0.14947225059584615,9=0.10929519918283963,1=0.0949948927477017,11=0.08205652025876739,7=0.07286346612189304,12=0.066053796390875,3=0.060946544092611465,4=0.060946544092611465,8=0.060946544092611465,2=0.06060606060606056,5=0.06060606060606056,6=0.06060606060606056,10=0.06060606060606056,
11=0.3801099689218267,0=0.07458761654315081,9=0.06550322734879271,1=0.062395409992828096,5=0.06120009562514942,7=0.048529763327755146,12=0.04709538608654071,10=0.04518288309825478,4=0.0447047573511833,8=0.04279225436289738,3=0.042792254362897374,2=0.04255319148936164,6=0.04255319148936164,
4=0.31120982492814214,1=0.1322184478703947,8=0.07316435850535676,3=0.05879278808466168,11=0.04807943558923444,0=0.0475568330284819,10=0.0475568330284819,12=0.0475568330284819,9=0.047034230467729345,2=0.04677292918735307,5=0.04677292918735307,6=0.04677292918735307,7=0.0465116279069768,
8=0.25312109862671667,4=0.08988764044943812,3=0.07584269662921338,5=0.0708489388264668,2=0.060237203495630366,10=0.057428214731585416,12=0.056803995006242086,11=0.05649188514357044,6=0.056179775280898764,7=0.056179775280898764,0=0.05586766541822711,1=0.05555555555555545,9=0.05555555555555545,
10=0.4285814606741571,2=0.19866573033707863,5=0.07865168539325845,8=0.052738764044943806,1=0.046488764044943814,6=0.04157303370786518,9=0.029283707865168537,7=0.028721910112359535,11=0.02619382022471909,3=0.01832865168539325,0=0.017205056179775274,4=0.01685393258426966,12=0.016713483146067402,
6=0.2282441066314162,11=0.15223617536902384,9=0.08944701476096047,5=0.08261731658955707,7=0.07468605419695956,0=0.05816259087904816,12=0.05706102665785407,1=0.05023132848645069,4=0.043621943159286136,10=0.043621943159286136,8=0.040757876184181495,3=0.039876624807226216,2=0.03943599911874858,
6=0.17471910112359562,9=0.15112359550561796,0=0.11123595505617974,1=0.0702247191011236,11=0.06573033707865167,12=0.06207865168539319,7=0.059831460674157254,5=0.051685393258426894,10=0.051404494382022395,4=0.05084269662921341,2=0.05056179775280891,3=0.05056179775280891,8=0.04999999999999991,
11=0.2942415730337078,8=0.11610486891385768,0=0.0819288389513109,9=0.07092696629213487,3=0.062031835205992494,1=0.059222846441947585,4=0.048689138576779006,7=0.047986891385767755,10=0.047986891385767755,12=0.04517790262172279,5=0.0421348314606741,2=0.04190074906367036,6=0.041666666666666616,
0=0.13551242764725918,9=0.1273408239700375,1=0.08886618998978543,11=0.08035410282601288,7=0.07456588355464755,12=0.0691181477698331,2=0.06060606060606056,3=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,6=0.06060606060606056,8=0.06060606060606056,10=0.06060606060606056,
0=0.13312904324140287,9=0.11985018726591766,1=0.09193054136874355,11=0.08409942117807281,7=0.07728975144705476,12=0.06945863125638402,2=0.06060606060606056,3=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,6=0.06060606060606056,8=0.06060606060606056,10=0.06060606060606056,
8=0.13483146067415722,0=0.12055876100819923,9=0.10173094442757365,1=0.08958396598846034,7=0.07197084725174613,11=0.07136349832979048,3=0.0655936835712117,4=0.06407531126632252,12=0.06255693896143334,10=0.054965077436987544,6=0.054357728515031886,5=0.054357728515031865,2=0.05405405405405404,
5=0.480898876404494,8=0.13756019261637223,2=0.04622792937399674,10=0.04237560192616367,6=0.04125200642054568,3=0.04012841091492771,4=0.03772070626003204,9=0.02921348314606736,1=0.029052969502407645,7=0.029052969502407645,0=0.02889245585874794,11=0.028892455858747935,12=0.028731942215088225,
10=0.5479955611041755,2=0.10362047440699128,5=0.0783048966569566,6=0.05881536967679287,11=0.048203634345956446,12=0.04487446247745877,7=0.028020529893189098,0=0.018657234013039273,9=0.017062005826050785,1=0.015813566375364147,4=0.013108614232209761,3=0.012900540990428656,8=0.012623110001387178,
8=0.24848746758859103,10=0.23883607029674436,6=0.10587726879861693,7=0.06122154998559486,4=0.04350331316623448,0=0.04335926246038601,3=0.040910400460962205,9=0.0406222990492653,2=0.03860558916738687,1=0.03802938634399304,12=0.034716220109478495,5=0.033851915874387746,11=0.03197925669835778,
6=0.17518917679431345,8=0.17473056638385712,7=0.15340518229763822,9=0.06420545746388442,0=0.06030726897500571,1=0.05457463884430175,11=0.051364365971107544,3=0.047924787892685186,12=0.045631735840403594,10=0.04540243063517544,4=0.044943820224719114,5=0.041274936941068596,2=0.041045631735840436,
5=0.3074906367041201,3=0.13389513108614232,0=0.07453183520599245,7=0.07453183520599245,9=0.0662921348314606,6=0.05580524344569286,12=0.054494382022471866,1=0.049812734082396976,11=0.043445692883895104,2=0.03745318352059922,10=0.03483146067415729,4=0.03408239700374531,8=0.033333333333333326,
8=0.17870518994114473,7=0.11102193686463334,0=0.1005885500267522,9=0.08667736757624388,1=0.07597645799892982,3=0.0706260032102728,11=0.06367041198501866,12=0.06099518459069015,4=0.05805243445692878,6=0.05056179775280893,10=0.0478865703584804,2=0.04761904761904755,5=0.04761904761904755,
8=0.19382022471910096,0=0.11151685393258423,9=0.09915730337078654,1=0.0783707865168539,11=0.073314606741573,3=0.06825842696629207,7=0.0626404494382022,4=0.05786516853932579,12=0.05337078651685386,6=0.05084269662921341,2=0.05028089887640441,5=0.05028089887640441,10=0.05028089887640441,
1=0.22247191011235928,6=0.08838951310861413,0=0.08789013732833953,5=0.08589263420724086,9=0.07940074906367037,12=0.07041198501872653,11=0.06891385767790258,7=0.05892634207240946,4=0.05093632958801494,3=0.04818976279650432,8=0.047191011235955,10=0.04619225967540569,2=0.04519350811485637,
11=0.15730337078651682,0=0.12093435836782965,9=0.09816676522767592,1=0.08456534594914246,7=0.07303370786516848,5=0.07037256061502058,12=0.06564163217031337,8=0.056475458308693056,6=0.056179775280898854,4=0.05558840922531045,2=0.054109994086339444,3=0.05381431105854524,10=0.05381431105854524,
0=0.14947225059584615,9=0.10248552945182157,1=0.0949948927477017,11=0.08307797071842009,7=0.07660878447395296,12=0.0687776642832822,8=0.060946544092611465,2=0.06060606060606056,3=0.06060606060606056,4=0.06060606060606056,5=0.06060606060606056,6=0.06060606060606056,10=0.06060606060606056,
1=0.1885143570536829,0=0.11860174781523096,9=0.09769038701622959,11=0.07209737827715346,7=0.06991260923845183,12=0.06242197253433198,8=0.05649188514357044,6=0.056179775280898764,3=0.05586766541822711,2=0.05555555555555545,4=0.05555555555555545,5=0.05555555555555545,10=0.05555555555555545,
5=0.17116591273894627,4=0.13804173354735141,6=0.12607617101999113,3=0.1253465635488106,1=0.10331241791915949,11=0.06405953596964827,2=0.06216255654457894,9=0.03983656792645551,0=0.037064059535969585,8=0.03356194367430316,7=0.033416022180067076,10=0.03341602218006707,12=0.03254049321465047,
2=0.6108859826855776,5=0.0845459568981396,6=0.07220482593479463,10=0.03858905875851906,9=0.026984711733284202,0=0.025879535826118974,1=0.023761282004052305,11=0.02311659605820593,7=0.02201142015104071,12=0.021458832197458096,4=0.017498618530116052,3=0.016577638607478372,8=0.0164855406152146,
6=0.25477528089887636,9=0.0848314606741573,0=0.08202247191011237,1=0.07443820224719096,11=0.06994382022471902,12=0.06488764044943819,7=0.06376404494382018,5=0.051404494382022395,10=0.05112359550561789,3=0.05084269662921341,4=0.05084269662921341,8=0.050842696629213396,2=0.05028089887640441,
11=0.24971336849346476,6=0.21073148360467778,9=0.06122448979591836,0=0.06030726897500572,12=0.055491859665214374,1=0.055033249254758075,7=0.05503324925475806,10=0.04379729419857833,5=0.04265076817243754,2=0.04196285255675307,3=0.041504242146296756,4=0.04150424214629675,8=0.04104563173584044,
4=0.19937287692709713,9=0.14815782597334742,0=0.08988764044943828,1=0.07133524954272284,8=0.06819963417820754,12=0.06009929448654305,11=0.05983799320616676,3=0.057486281682780305,7=0.0567023778416515,6=0.04860203814998699,10=0.04729553174810562,2=0.0465116279069768,5=0.0465116279069768,
9=0.18362760834670921,0=0.1104333868378811,1=0.08828250401284099,11=0.07415730337078638,12=0.07319422150882814,7=0.0683788121990368,6=0.058747993579454136,8=0.05746388443017645,2=0.05714285714285703,3=0.05714285714285703,4=0.05714285714285703,5=0.05714285714285703,10=0.05714285714285703,
9=0.18539325842696638,0=0.1098626716604244,12=0.09176029962546806,1=0.08021223470661665,11=0.07116104868913849,7=0.06523096129837694,4=0.05774032459425707,6=0.057116104868913754,3=0.056803995006242086,8=0.056491885143570425,2=0.056179775280898764,10=0.056179775280898764,5=0.05586766541822711,
9=0.18619582664526457,0=0.10690208667736743,1=0.0898876404494381,12=0.07383627608346698,7=0.07158908507223101,11=0.07030497592295333,6=0.058426966292134716,2=0.05714285714285703,3=0.05714285714285703,4=0.05714285714285703,5=0.05714285714285703,8=0.05714285714285703,10=0.05714285714285703,
9=0.1871589085072229,0=0.11043338683788109,1=0.08314606741573025,11=0.07800963081861946,7=0.06934189406099509,12=0.06934189406099507,6=0.058747993579454136,3=0.05746388443017645,5=0.05746388443017645,10=0.05746388443017645,2=0.05714285714285703,4=0.05714285714285703,8=0.05714285714285703,
4=0.2099080694586311,9=0.13942798774259454,0=0.09780388151174672,8=0.06613891726251284,1=0.06537282941777331,11=0.0623084780388152,12=0.06026557711950977,7=0.0564351378958121,3=0.05592441266598575,6=0.04826353421859041,5=0.04622063329928497,2=0.045965270684371784,10=0.045965270684371784,
2=0.2235363690124186,5=0.18233786713975947,9=0.11649911295091665,0=0.071752414744727,10=0.06485314409619554,1=0.052434456928838996,8=0.04868913857677906,11=0.043958210132071816,12=0.04257835600236553,7=0.041592745909718176,4=0.037847427557658256,3=0.03745318352059931,6=0.036467573427951976,
4=0.19975031210986233,9=0.14881398252184755,0=0.09163545568039945,1=0.08164794007490626,12=0.06816479400749056,8=0.0604244694132334,11=0.05867665418227211,7=0.05692883895131082,3=0.05493133583021218,2=0.044943820224719044,5=0.04494382022471903,6=0.04469413233458171,10=0.04444444444444438,
9=0.19465532948679015,0=0.11904038870331006,1=0.088369268144549,7=0.07470391740054658,11=0.07257819617370177,12=0.06954145156392348,6=0.05587610081992103,3=0.054357728515031886,4=0.054357728515031886,10=0.054357728515031886,2=0.05405405405405404,5=0.05405405405405404,8=0.05405405405405404,
1=0.20716292134831465,4=0.1591760299625469,9=0.1317883895131086,0=0.07701310861423222,12=0.06015917602996256,11=0.053604868913857684,7=0.051029962546816465,3=0.04705056179775278,8=0.045177902621722804,6=0.0426029962546816,10=0.04190074906367036,2=0.041666666666666616,5=0.041666666666666616,
